Geo Point;Geo Shape;OBJECTID_1;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.86799910892294, 2.3650748610827645;"{""coordinates"": [2.365074861082765, 48.86799910892294], ""type"": ""Point""}";815;729;République;;;71311;République;44617;République;A01544;C01381;METRO 11;11;METRO;0;0;0;0;0;RATP;1;0;653423.8602;6863295.0761;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94;République
48.81052080428471, 2.384289600960821;"{""coordinates"": [2.384289600960821, 48.81052080428471], ""type"": ""Point""}";737;496;Mairie d'Ivry;;;70488;Mairie d'Ivry;44051;Mairie d'Ivry;A01540;C01377;METRO 7;7;METRO;0;0;METRO 7;0;0;RATP;1;0;654783.53;6856892.9064;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Mairie d'Ivry
48.86282967190577, 2.3368784003341996;"{""coordinates"": [2.3368784003342, 48.86282967190577], ""type"": ""Point""}";740;619;Palais Royal - Musée du Louvre;;;71297;Palais Royal - Musée Du Louvre;44236;Palais Royal - Musée Du Louvre;A01540;C01377;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;651350.6756;6862737.2772;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Palais Royal - Musée du Louvre
48.86573786666654, 2.3344377148655506;"{""coordinates"": [2.334437714865551, 48.86573786666654], ""type"": ""Point""}";804;715;Pyramides;;;73788;Pyramides;44579;Pyramides;A01540;C01377;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;651174.3468;6863062.1512;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Pyramides
48.88796756174982, 2.3734568878525493;"{""coordinates"": [2.373456887852549, 48.88796756174982], ""type"": ""Point""}";908;739;Riquet;;;71977;Riquet;44643;Riquet;A01540;C01377;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;654056.345;6865510.53;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Riquet
48.86616711494919, 2.323175680856618;"{""coordinates"": [2.323175680856618, 48.86616711494919], ""type"": ""Point""}";670;200;Concorde;;;71298;Concorde;45676;Concorde;A01545;C01382;METRO 12;12;METRO;0;0;0;0;0;RATP;1;0;650348.5931;6863116.9028;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49;Concorde
48.84447014129587, 2.317852783041332;"{""coordinates"": [2.317852783041332, 48.84447014129587], ""type"": ""Point""}";686;280;Falguière;;;73641;Falguière;42981;Falguière;A01545;C01382;METRO 12;12;METRO;0;0;0;0;0;RATP;1;0;649937.2765;6860707.7605;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49;Falguière
48.84494263342596, 2.3287780268900797;"{""coordinates"": [2.32877802689008, 48.84494263342596], ""type"": ""Point""}";762;601;Notre-Dame-des-Champs;;;71138;Notre-Dame-des-Champs;44211;Notre-Dame-des-Champs;A01545;C01382;METRO 12;12;METRO;0;0;0;0;0;RATP;1;0;650739.5063;6860753.4256;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49;Notre-Dame-des-Champs
48.85176205249548, 2.326822568897497;"{""coordinates"": [2.326822568897497, 48.85176205249548], ""type"": ""Point""}";781;799;Sèvres-Babylone;;;71203;Sèvres Babylone;44828;Sèvres Babylone;A01545;C01382;METRO 12;12;METRO;0;0;0;0;0;RATP;1;0;650602.4646;6861512.8995;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49;Sèvres-Babylone
48.83244909914335, 2.2880221411003245;"{""coordinates"": [2.288022141100325, 48.83244909914335], ""type"": ""Point""}";796;701;Porte de Versailles;Parc des Expositions de Paris;;71045;Porte de Versailles;49515;Porte de Versailles;A01545;C01382;METRO 12;12;METRO;0;0;0;0;0;RATP;1;0;647736.0144;6859390.483;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49;Porte de Versailles
